250 1273
245 247 11712
240 241 10616
239 246 6142
236 239 7048
234 241 7634
233 249 10223
232 249 10699
230 250 10098
229 242 1473
227 232 7638
224 243 10184
224 250 10898
223 226 9842
221 248 10309
220 222 6535
219 225 5993
219 228 9192
218 233 9613
217 233 8738
215 220 4104
215 222 10444
214 236 9305
214 239 10707
213 215 9024
213 220 8099
213 222 8320
213 245 4321
212 223 6192
212 226 10649
211 213 5813
211 215 7099
211 220 3728
211 222 3658
211 245 10062
210 212 1269
210 223 7357
210 226 11652
209 227 4662
209 232 8821
208 211 3157
208 213 5667
208 215 10119
208 220 6877
208 222 2902
208 245 9218
207 210 11467
206 208 10606
206 211 7932
206 215 7345
206 220 5157
206 222 8879
205 223 9626
205 226 5003
205 232 11432
204 250 4148
203 205 4207
203 210 10956
203 212 9692
203 223 5440
203 226 6056
202 217 11363
202 218 11118
202 233 3556
202 249 6668
201 204 5651
201 224 9984
201 250 6335
200 238 6766
199 224 9036
199 243 3037
198 231 9937
197 206 5718
197 215 8233
197 220 8903
196 239 11390
196 246 9286
195 221 11551
194 244 9306
193 244 7897
192 203 6216
192 205 7061
192 223 9234
192 226 11446
192 232 11935
191 221 4330
191 248 6680
190 201 11303
190 204 5779
190 221 9403
190 250 8557
189 231 5191
189 234 8575
189 241 9560
188 209 6557
188 227 3660
188 232 4215
188 249 11716
187 190 5775
187 204 10305
187 250 11195
186 202 6956
186 233 10259
186 249 2896
185 189 7566
185 198 5351
185 231 4691
184 216 3017
183 199 7870
183 224 8452
183 243 10811
182 185 8764
182 189 10778
182 197 11674
182 231 5963
181 214 3355
180 194 10256
180 213 9146
180 245 7049
179 237 2867
178 187 3537
178 190 3512
178 204 6820
178 250 7806
177 192 2089
177 203 4299
177 205 6123
177 223 7242
177 226 9939
176 247 3569
175 180 9292
175 193 7813
175 244 7414
173 181 8119
173 198 9121
173 214 5932
173 236 7388
172 173 6889
172 181 10106
172 214 6758
172 236 3106
172 239 5664
172 246 11526
171 183 6422
171 199 10237
171 224 3653
171 230 10924
171 250 11264
170 178 8571
170 187 5624
170 190 8899
170 191 9320
170 221 10104
169 188 4080
169 205 11515
169 209 8885
169 227 7555
169 232 268
169 249 10481
168 225 7521
167 237 9479
166 172 11685
166 173 9828
166 181 1756
166 192 10673
166 214 5003
165 191 7043
165 195 7228
165 221 5001
165 248 9969
164 203 9825
164 210 2235
164 212 1708
164 223 5489
164 226 11682
163 193 9472
162 170 10571
162 178 7299
162 187 6124
162 190 10748
162 230 10509
162 250 11843
161 169 6839
161 177 6571
161 188 10794
161 192 5410
161 203 8639
161 205 6351
161 226 11314
161 232 6647
160 235 5490
160 240 10493
159 171 5722
159 201 7196
159 204 9121
159 224 5291
159 230 9925
159 250 5734
158 182 5473
158 185 4716
158 189 10501
158 198 7152
158 231 5597
157 197 8377
157 206 5088
157 208 7567
157 211 4409
157 213 8418
157 215 3435
157 220 745
157 222 7280
156 166 5001
156 172 7487
156 173 4996
156 181 3246
156 198 11679
156 214 1559
156 236 9681
156 239 11940
155 172 8024
155 196 11016
155 236 9296
155 239 2365
155 246 4011
154 229 5583
154 242 4247
153 180 10233
153 208 8799
153 211 10636
153 213 5852
153 222 11655
153 245 3365
153 247 9510
152 169 9264
152 188 6861
152 209 391
152 227 4792
152 232 9202
151 165 9115
151 170 6637
151 178 8428
151 187 8087
151 190 6046
151 191 6182
151 204 11351
151 221 4158
150 164 7446
150 207 10265
150 210 5363
150 212 5830
150 223 11405
150 226 10995
149 158 1712
149 182 5620
149 185 3398
149 189 8809
149 198 7085
149 231 4043
148 163 9416
148 167 11877
147 219 6252
147 225 11387
147 228 4560
146 147 10595
145 169 9650
145 186 3018
145 188 11380
145 202 8140
145 205 11540
145 232 9846
145 233 11686
145 249 1527
144 153 7831
144 176 10421
144 180 8905
144 194 6865
144 213 11875
144 245 7554
144 247 7589
143 155 11701
143 156 4818
143 166 4797
143 172 8119
143 173 9299
143 181 4124
143 196 8901
143 214 3433
143 236 11123
143 239 10237
141 148 4712
